177L - 55,177,L,T 3p - 6p
177L - 49,177,L,W 12p - 3p
177 - 12,177,R,R 9a - 10a
177 - 46,177,R,R 2p - 3p
177L - 17,177,L ,T 12p - 3p
50 - 1,177,R,W 9a - 10a
50 - 5,177,R,W 12p - 1p
177L - 39,177,L,R 9a - 12p
177L - 10,177,L ,M 3p - 6p
50 - 3,177,R,W 11a - 12p
177L - 5,177,L ,M 12p - 3p
177L - 20,177,L,T 12p - 3p
50 - 2,177,R,W 10a - 11a
50 - 6,177,R,W 2p - 3p
50 - 4,177,R,W 1p - 2p
177L - 41,177,L,R 12p - 3p
